date,open,high,low,close,volume
2005-08-25,2.2451,2.2627,2.2260,2.2505,29648400
2005-08-26,2.2528,2.2528,2.1945,2.2160,32343600
2005-08-29,2.1953,2.2221,2.1777,2.2198,34339200
2005-08-30,2.2160,2.3049,2.2129,2.2995,94885200
2005-08-31,2.2942,2.3800,2.2873,2.3509,90680400
2005-09-01,2.3440,2.3731,2.3317,2.3516,55688400
2005-09-02,2.3561,2.3562,2.3057,2.3133,46980000
2005-09-06,2.3217,2.3447,2.2865,2.3325,42309600
2005-09-07,2.3294,2.4129,2.3233,2.4068,58801200
2005-09-08,2.3922,2.4650,2.3922,2.4351,64611600
2005-09-09,2.4612,2.4719,2.4214,2.4666,45423600
2005-09-12,2.4689,2.4765,2.4290,2.4581,55658400
2005-09-13,2.4466,2.5447,2.4466,2.5325,85472400
2005-09-14,2.5133,2.5470,2.4903,2.5018,50344800
2005-09-15,2.5401,2.5746,2.5248,2.5463,75975600
2005-09-16,2.5677,2.5815,2.5271,2.5478,51982800
2005-09-19,2.5447,2.5531,2.4980,2.5118,42831600
2005-09-20,2.5309,2.5892,2.5275,2.5608,52219200
2005-09-21,2.5509,2.6014,2.5164,2.5386,62565600
2005-09-22,2.5447,2.5447,2.4252,2.4704,73915200
2005-09-23,2.4650,2.5279,2.4443,2.5064,31464000
2005-09-26,2.5256,2.5447,2.4804,2.5271,40677600
2005-09-27,2.5378,2.5604,2.5164,2.5355,40416000
2005-09-28,2.5432,2.5577,2.5141,2.5509,35355600
2005-09-29,2.5516,2.6053,2.5309,2.6037,51337200
2005-09-30,2.6053,2.6505,2.5999,2.6267,45883200
2005-10-03,2.6413,2.7179,2.6359,2.6987,54988800
2005-10-04,2.6911,2.7547,2.6574,2.6635,51447600
2005-10-05,2.6666,2.6666,2.5593,2.5754,59918400
2005-10-06,2.5723,2.6122,2.4888,2.5662,68551200
2005-10-07,2.5708,2.5965,2.5133,2.5332,55195200
2005-10-10,2.5463,2.5509,2.4681,2.4689,45921600
2005-10-11,2.4781,2.4995,2.4099,2.4382,54004800
2005-10-12,2.4313,2.5049,2.4283,2.4673,65766000
2005-10-13,2.4620,2.4658,2.3601,2.4543,50930400
2005-10-14,2.4719,2.5026,2.4137,2.4543,31125600
2005-10-17,2.4558,2.5026,2.4558,2.4781,24391200
2005-10-18,2.4873,2.4918,2.4214,2.4374,29983200
2005-10-19,2.4060,2.4206,2.3378,2.4168,63595200
2005-10-20,2.4206,2.4842,2.4099,2.4336,35952000
2005-10-21,2.4750,2.4827,2.4305,2.4474,29836800
2005-10-24,2.4689,2.5141,2.4466,2.5141,29101200
2005-10-25,2.4972,2.5378,2.4865,2.5302,33468000
2005-10-26,2.5309,2.5363,2.4574,2.4612,41534400
2005-10-27,2.4658,2.4735,2.4022,2.4099,22778400
2005-10-28,2.4160,2.4888,2.3562,2.4842,46464000
2005-10-31,2.4941,2.5884,2.4941,2.5708,43242000
2005-11-01,2.5516,2.5899,2.5194,2.5394,40048800
2005-11-02,2.5401,2.6895,2.5286,2.6865,52366800
2005-11-03,2.7049,2.7202,2.6336,2.6551,46507200
2005-11-04,2.6566,2.6627,2.5823,2.6099,57027600
2005-11-07,2.6236,2.6325,2.5876,2.5984,37082400
2005-11-08,2.6083,2.6106,2.5386,2.5501,53896800
2005-11-09,2.5551,2.6819,2.5263,2.6650,81888000
2005-11-10,2.7577,2.8175,2.5164,2.5662,250362000
2005-11-11,2.5884,2.6390,2.5769,2.6083,54592800
2005-11-14,2.6091,2.6819,2.5692,2.6635,49366800
2005-11-15,2.6792,2.7049,2.6612,2.6696,49620000
2005-11-16,2.6704,2.6872,2.6083,2.6604,45528000
2005-11-17,2.6823,2.7807,2.6512,2.7784,70326000
2005-11-18,2.7872,2.8106,2.7187,2.7731,46576800
2005-11-21,2.7761,2.8267,2.7577,2.8221,45470400
2005-11-22,2.8367,2.9248,2.8144,2.8972,73170000
2005-11-23,2.9003,2.9309,2.8734,2.8888,41194800
2005-11-25,2.9026,2.9217,2.8826,2.9171,11667600
2005-11-28,2.9248,2.9501,2.8505,2.9026,42452400
2005-11-29,2.7309,2.8083,2.7064,2.7187,104313600
2005-11-30,2.6995,2.7838,2.6987,2.7700,57544800
2005-12-01,2.7930,2.8160,2.7631,2.8029,56203200
2005-12-02,2.8160,2.8229,2.7662,2.8037,33447600
2005-12-05,2.8098,2.8098,2.7424,2.7516,38770800
2005-12-06,2.7562,2.8006,2.7524,2.7631,37525200
2005-12-07,2.7738,2.7907,2.7202,2.7677,35266800
